series_id,name_en,category,subcategory,product_role,actuation,pharma_relevance,pharma_applications,key_features,operating_pressure,media_temperature,sterilization_temperature,nominal_sizes,body_materials,seal_or_diaphragm_materials,connections,conformities,protocols,official_url,accessed_date,evidence_grade,notes
4241,Valve actuation with inductive proximity switch,Measurement And Control Technology,Position Feedback Devices And Valve Connections,Valve actuation with inductive proximity switch,pneumatic,MEDIUM,阀门自动化、状态反馈与调节,Explosion protection for zone 1 and 21 | Position feedback via 2-wire proximity switch (NAMUR) | Adjustable switch point tolerances using locking levers | Integrated manual override,,,,,,,Cable glands,ATEX EAC IECEx,,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/4241,2026-06-09,A,Official page description: The GEMÜ 4241 combi switchbox is suitable for mounting to pneumatically operated linear actuators. The position of the valve spindle is reliably electronically detected and fed back via the play-free and non-positive mounting by means of a 2-wire proximity switch (NAMUR). Integrated pilot valves enable direct activation of the process valve connected to them.
4242,Microprocessor-controlled valve control,Measurement And Control Technology,Position Feedback Devices And Valve Connections,Microprocessor-controlled valve control,pneumatic,MEDIUM,阀门自动化、状态反馈与调节,"Fieldbus connection AS-Interface (3.0), ASi-5 and DeviceNet (optional) | Communication and programming interface IO-Link | Adjustable switch point tolerances | Speed-AP function for fast mounting and initialization | High visibility position indicator by LED | On-site or remote end position programming via programming input | Integrated manual override",,,,,,,M12 plug,ATEX ETL Listed C US FCC FMEDA IECEx UL listed,IO-Link | DeviceNet | AS-Interface,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/4242,2026-06-09,A,Official page description: The GEMÜ 4242 combi switchbox is suitable for installation on pneumatically operated linear actuators. The position of the valve spindle is reliably electronically detected and evaluated using play-free and non-positive mounting. Integrated pilot valves enable direct activation of the process valve connected to them. Intelligent microprocessor-controlled functions facilitate commissioning and support during operation. The current position of the valve is displayed via high-visibility LEDs and fed back via electrical signals.
44A0,Multi-functional combi switchbox,Measurement And Control Technology,Position Feedback Devices And Valve Connections,Multi-functional combi switchbox,pneumatic,MEDIUM,阀门自动化、状态反馈与调节,Communication and programming interface IO-Link | Self-initialization through autonomous detection of end positions | Condition monitoring through integrated sensor system | Configuration and status diagnostics via the GEMÜ App | Contactless position detection | Electrical and mechanical position indicator as well as advanced diagnostic messages via high-visibility LED | Uniform mounting kit with integrated air supply and control pressure detection | ASi-5 fieldbus connection,"0,5 to 7 bar",,,,,,M12 plug,,IO-Link | Bluetooth,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/44a0,2026-06-09,A,"Official page description: Independent of the actuator size, the GEMÜ 44A0 multi-functional valve actuation, as an automation module, is compatible with all pneumatically operated process valves with single acting linear actuator of the new valve generation. Depending on the order variant and the set device functions, the connected process valves can be controlled conventionally open/closed (combi switchbox) or the valve position can be precisely controlled (positioner). Contactless position detection determines the valve position precisely, reliably and without being subject to wear. The current valve position is displayed via high visibility LEDs, and fed back via electrical signals. In addition to this, there is an integrated mechanical position indicator. Modern communication interfaces, an integrated sensor system and the GEMÜ app operating option are all features that characterize this innovative product."
C12A,Light barrier-based electrical position indicator,Measurement And Control Technology,Position Feedback Devices And Valve Connections,Light barrier-based electrical position indicator,,MEDIUM,阀门自动化、状态反馈与调节,Simple installation - pre-assembled or as a retrofit kit | Suitable for GEMÜ iComLine and CleanStar | Compact design with minimum installation height | Open/Closed position indicator as standard | Comes pre-assembled or as a retrofit kit | Durable due to contactless position detection,,,,,,,,,,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/c12a,2026-06-09,A,Official page description: The photoelectric sensor detects the position of the valve spindle without touching it. An electrical signal transmits the respective position of the valve (open/closed) to the plant control system. The connection is established using 24 V DC.
LSC,Limit switch box for quarter turn actuators,Measurement And Control Technology,Position Feedback Devices And Valve Connections,Limit switch box for quarter turn actuators,pneumatic | manual,MEDIUM,阀门自动化、状态反馈与调节,"Adjustable switch point tolerances | Simple mounting and retrofitting to quarter turn actuators | Can be attached to all quarter turn valves in accordance with the VDI/VDE 3845 standard interface | Up to four position feedback messages | Compact, solid housing | Solenoid valve connection (optional) | 3D optical position indicator (optional) | Open/close LED indicator (optional) | Low temperatures to -40 °C (optional)",,,,,,,"Plug, Harting Plug, Hirschmann M20 cable gland M12 plug NPT threaded connection",ATEX EAC FMEDA IECEx,HART,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/lsc,2026-06-09,A,Official page description: The GEMÜ LSC limit switch box is suitable for mounting to manually and pneumatically operated quarter turn valves. It is also fitted with an optical position indicator for visual confirmation of position.
C30,Pressure gauge with PFA pressure transmitter,Measurement And Control Technology,Temperature Measuring Devices And Pressure Measuring Devices,Pressure gauge with PFA pressure transmitter,,HIGH,制药或生物技术过程；具体卫生等级需确认,"Working medium hermetically isolated from the gauge by a patented PFA double diaphragm | Device body consists of PFA/PTFE | The proven GEMÜ CleanStar® technology is the basis of the transmitter | Pressure gauge can be positioned through 360° enabling individual user options | Option with electronic switching contacts | Production, assembly, calibration and packaging in cleanroom ISO 6",,5 Up to 60 °C,,1/4'' (DN 4) Up to 1 1/4'' (DN 25),,,,FDA,,https://www.gemu-group.com/en/products/measurement-and-control-technology/temperature-measuring-devices-and-pressure-measuring-devices/c30,2026-06-09,A,"Official page description: The GEMÜ C30 pressure measurement device is equipped with a PFA pressure transmitter and an analogue pressure gauge. The device body is made of PFA/PTFE and can be integrated directly into the piping system using flare unions. The pressure transmission is carried out with a monitoring liquid (standard IPA (isopropyl alcohol)/DI water, others available on request)."
C33,Pressure gauge with PTFE separating diaphragm,Measurement And Control Technology,Temperature Measuring Devices And Pressure Measuring Devices,Pressure gauge with PTFE separating diaphragm,,MEDIUM,,"Membrane is an integral part of the sensor envelope | Non-metallic ultra pure ceramic sensor | Media wetted area made exclusively of PTFE | Plastic housing for aggressive ambient conditions | Production, assembly, calibration and packaging in cleanroom ISO 6",,0 to 80 °C,,,PTFE,,,,,https://www.gemu-group.com/en/products/measurement-and-control-technology/temperature-measuring-devices-and-pressure-measuring-devices/c33,2026-06-09,A,"Official page description: The GEMÜ C33 HydraLine electronic pressure gauge comprises a PTFE body and a housing made of PTFE, PVDF and FKM. It has a ceramic pressure measurement cell which is separated from the process medium by an innovative new sealing concept. This means the process medium only comes into contact with PTFE. The GEMÜ C33 HydraLine has a leak detection hole for easy leakage detection and can be integrated directly into the piping system via flare unions."
710,Pneumatic ball valve made of plastic,Valve Technology,Ball Valves,Pneumatic ball valve made of plastic,pneumatic,LOW,,2/2 and 3/2-way versions available | Safety and reliability thanks to lockable fitting screw connection | Available as shut-off or control valve | Operating times variably adjustable | High flow rate | Choice of various body materials and connection types,0 Up to 16 bar,-20 to 100 °C,,DN 10 to 100,"ABS PP-H, grey PVC-C, chlorinated PVC-U, grey PVDF",EPDM FKM,Flange Solvent cement socket Spigot thread Union end,EAC,,https://www.gemu-group.com/en/products/valve-technology/ball-valves/710,2026-06-09,A,"Official page description: The 2/2 and/or 3/2-way GEMÜ 710 plastic ball valve has a pneumatic actuator, which can either be made from aluminium or plastic. The seat seal is made from PTFE and the O-ring seals can be made from either EPDM or FKM."
717,Manual ball valve made of plastic,Valve Technology,Ball Valves,Manual ball valve made of plastic,manual,LOW,,2/2 and 3/2-way versions available | Available as shut-off or control valve | Safety and reliability thanks to lockable fitting screw connection | Choice of various body materials and connection types | Handle with integrated tool for adjusting the seat seal,0 to 16 bar,-20 to 100 °C,,DN 10 to 100,"ABS PP-H, grey PVC-C, chlorinated PVC-U, grey PVDF",EPDM FKM,Flange Solvent cement socket Spigot thread Union end,EAC,,https://www.gemu-group.com/en/products/valve-technology/ball-valves/717,2026-06-09,A,Official page description: The GEMÜ 717 2/2 or 3/2-way plastic ball valve has an ergonomically designed hand lever and is manually operated. The seat seal is made from PTFE and the O-ring seals can be made from either EPDM or FKM.
B20,Manual 2/2-way metal ball valve,Valve Technology,Ball Valves,Manual 2/2-way metal ball valve,manual,MEDIUM,,Lockable hand lever | Length standardised to DIN 3202 M3 | High flow rate | Low weight | Compact design,0 Up to 63 bar,-40 to 180 °C,,DN 8 to 65,"1.4408, investment casting material",PTFE,thread,DVGW Gas EAC FDA FMEDA Functional safety Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004,,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b20,2026-06-09,A,Official page description: The GEMÜ B20 2-piece 2/2-way metal ball valve is manually operated. It has a plastic sleeved lockable hand lever. The seat seal is made of PTFE.
B22,Manual 2/2-way metal ball valve,Valve Technology,Ball Valves,Manual 2/2-way metal ball valve,manual,HIGH,制药或生物技术过程；具体卫生等级需确认,Easy maintenance thanks to swing-out centre body section | Ideal for decentralised use without compressed air supply | Blow-out proof shaft | Variety of connection types and connection standards available | Suitable for vacuum applications | Low maintenance and reliable spindle sealing | Antistatic device,0 Up to 63 bar,-40 to 180 °C,,DN 8 to 100,"1.4408, investment casting material",PTFE,Flange Spigot thread,ASME GEMÜ B31.3 EAC FDA Functional safety Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b22,2026-06-09,A,Official page description: The GEMÜ B22 3-piece 2/2-way metal ball valve is manually operated. It has a plastic sleeved hand lever with a locking device. The seat seal is made of PTFE.
B26,Manual 2/2-way metal ball valve,Valve Technology,Ball Valves,Manual 2/2-way metal ball valve,manual,HIGH,制药或生物技术过程；具体卫生等级需确认,Compact design | Blow-out proof shaft | High flow rate | Full-flow bore | ATEX version available as an option,0 Up to 40 bar,-20 to 180 °C,,DN 15 to 100,"1.4408, investment casting material",PTFE,Flange,EAC FDA Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b26,2026-06-09,A,Official page description: The GEMÜ B26 metal one-piece 2/2-way ball valve has a plastic sleeved hand lever. The seat seal is made of PTFE.
B27,Manual 3/2-way metal ball valve,Valve Technology,Ball Valves,Manual 3/2-way metal ball valve,manual,HIGH,制药或生物技术过程；具体卫生等级需确认,With T- or L-ball selectable | Large selection of lockable hand levers available | Available in different thread variants | Suitable for vacuum applications | Antistatic device | High flow rate | Compact design,0 Up to 40 bar,-40 to 180 °C,,DN 8 to 50,"1.4408, investment casting material",PTFE,thread,FDA Functional safety Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006,,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b27,2026-06-09,A,Official page description: The GEMÜ B27 3/2-way metal ball valve is manually operated. It has a plastic sleeved hand lever with a locking device. The seat seal is made of PTFE.
B2F,Manual 2/2-way metal ball valve,Valve Technology,Ball Valves,Manual 2/2-way metal ball valve,manual,HIGH,制药或生物技术过程；具体卫生等级需确认,Fire Safe API 607 and DIN EN ISO 10497 | Suitable for chemical applications | Antistatic device | Low maintenance and reliable spindle sealing | Standardised FTF overall length in accordance with EN 558 Series 27,0 Up to 40 bar,-40 to 220 °C,,DN 15 to 200,"1.4408, investment casting material","PTFE, reinforced",Flange,EAC FireSafe FMEDA TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b2f,2026-06-09,A,Official page description: The GEMÜ B2F two-piece 2/2-way metal ball valve is manually operated. It has a plastic sleeved hand lever with a locking device. The seat seal is made of PTFE with glass fibre reinforcement.
B42,Pneumatic 2/2-way metal ball valve,Valve Technology,Ball Valves,Pneumatic 2/2-way metal ball valve,pneumatic,HIGH,制药或生物技术过程；具体卫生等级需确认,Easy maintenance thanks to swing-out centre body section | Operating times variably adjustable | Blow-out proof shaft | Variety of connection types and connection standards available | Suitable for vacuum applications | Low maintenance and reliable spindle sealing | Antistatic device,0 Up to 63 bar,-40 to 180 °C,,DN 8 to 100,"1.4408, investment casting material",PTFE,Flange Spigot thread,ASME GEMÜ B31.3 ATEX EAC FDA Functional safety Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b42,2026-06-09,A,Official page description: The GEMÜ B42 3-piece 2/2-way metal ball valve is pneumatically operated. The seat seal is made of PTFE.
B47,Pneumatic 3/2-way metal ball valve,Valve Technology,Ball Valves,Pneumatic 3/2-way metal ball valve,pneumatic,HIGH,制药或生物技术过程；具体卫生等级需确认,With T- or L-ball selectable | Operating times variably adjustable | Available in different thread variants | Compact design | Suitable for vacuum applications | Antistatic device,0 Up to 40 bar,-40 to 180 °C,,DN 8 to 50,"1.4408, investment casting material",PTFE,thread,ATEX,,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b47,2026-06-09,A,Official page description: The GEMÜ B47 3/2-way metal ball valve is pneumatically operated. The seat seal is made of PTFE.
B52,Electromotive 2/2-way metal ball valve,Valve Technology,Ball Valves,Electromotive 2/2-way metal ball valve,motorized | manual,HIGH,制药或生物技术过程；具体卫生等级需确认,Easy maintenance thanks to swing-out centre body section | Ideal for decentralised use without compressed air supply | Blow-out proof shaft | Variety of connection types and connection standards available | Suitable for vacuum applications | Low maintenance and reliable spindle sealing | Antistatic device,0 Up to 63 bar,-40 to 180 °C,,DN 8 to 100,"1.4408, investment casting material",PTFE,Flange Spigot thread,ASME GEMÜ B31.3 ATEX EAC FDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b52,2026-06-09,A,Official page description: The GEMÜ B52 3-piece 2/2-way metal ball valve is motorized. It has a plastic actuator housing. A manual override and an optical position indicator are integrated as standard. The seat seal is made of PTFE.
B54,Electric 2/2-way metal ball valve,Valve Technology,Ball Valves,Electric 2/2-way metal ball valve,,HIGH,制药或生物技术过程；具体卫生等级需确认,"Checked delta ferrite material < 3% (1.4435) | Material certificates for media wetted components | Wetted surfaces e-polished (Ra 0.51 µm) | Ball valve body, assembled free of oil/grease | Comprehensive drive selection | Butt weld spigots in extended orbital welding design | Optionally available with cavity-filled seat",0 Up to 63 bar,-10 to 220 °C,,DN 8 to 100,"1.4435 (316L), investment casting material",PTFE,,,,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b54,2026-06-09,A,"Official page description: The GEMÜ B54 three-piece 2/2-way metal ball valve with free shaft end and an actuator flange to DIN ISO 5211 for easy mounting of different actuator variants is particularly suitable for applications in the supply sector in the pharmaceutical, food processing and biotechnology industries thanks to the stainless steel alloy used (material composition corresponds to 316L) with a low delta ferrite content of <3 %. Only those plastics which are compliant with FDA, USP Class VI and Regulation (EU) No.10/2011 are used for the seals."
BB06,2/2-way ball valve with free shaft end made of metal,Valve Technology,Ball Valves,2/2-way ball valve with free shaft end made of metal,,HIGH,制药或生物技术过程；具体卫生等级需确认,Compact design | Blow-out proof shaft | High flow rate | Full-flow bore | ATEX version available as an option,0 Up to 40 bar,-40 to 180 °C,,DN 15 to 100,"1.4408, investment casting material",PTFE,Flange,EAC FDA FMEDA Functional safety Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/ball-valves/bb06,2026-06-09,A,Official page description: The GEMÜ BB06 metal one-piece 2/2-way ball valve has a bare shaft. The seat seal is made of PTFE.
BB07,3/2-way ball valve with free shaft end made of metal,Valve Technology,Ball Valves,3/2-way ball valve with free shaft end made of metal,,HIGH,制药或生物技术过程；具体卫生等级需确认,With T- or L-ball selectable | Flexible drive variants and automation options possible thanks to standardised mounting flange to ISO 5211 | Available in different thread variants | Compact design | Suitable for vacuum applications | Antistatic device,0 Up to 40 bar,-40 to 180 °C,,DN 8 to 50,"1.4408, investment casting material",PTFE,thread,FDA FMEDA Functional safety Functional safety Regulation (EC) No. 1935/2004,,https://www.gemu-group.com/en/products/valve-technology/ball-valves/bb07,2026-06-09,A,"Official page description: The GEMÜ BB07 stainless steel 3/2-way ball valve has a bare shaft. Thanks to the top flange according to ISO 5211, easy actuator mounting is possible."
BB0F,2/2-way ball valve with free shaft end made of metal,Valve Technology,Ball Valves,2/2-way ball valve with free shaft end made of metal,,HIGH,制药或生物技术过程；具体卫生等级需确认,Fire Safe API 607 and DIN EN ISO 10497 | Suitable for chemical applications | Antistatic device | Low maintenance and reliable spindle sealing | Standardised FTF overall length in accordance with EN 558 Series 27,0 Up to 40 bar,-40 to 220 °C,,DN 15 to 200,"1.4408, investment casting material","PTFE, reinforced",Flange,EAC FireSafe FMEDA Functional safety TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/ball-valves/bb0f,2026-06-09,A,"Official page description: The GEMÜ BB0F two-piece 2/2-way ball valve made from stainless steel has a bare shaft. Due to the top flange according to ISO 5211, simple actuator mounting is possible."
411,Manual metal shut-off damper,Valve Technology,Butterfly Valves,Manual metal shut-off damper,manual,HIGH,制药或生物技术过程；具体卫生等级需确认,Available in small nominal sizes | Suitable for vacuum applications and low temperatures | Ergonomically designed hand lever with integrated locking device | High-quality butterfly valve in stainless steel | Compact and robust body,0 to 10 bar,-20 to 160 °C,,DN 15 to 50,,,Clamp Spigot thread,EAC FDA Functional safety,,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/411,2026-06-09,A,"Official page description: The GEMÜ 411 soft-seated, centric butterfly valve made of stainless steel has an ergonomically designed, corrosion-resistant plastic hand lever. It is protected against accidental operation by the integrated locking device. With its rounded and polished disc edges, the butterfly valve is optimized for frequent cycle duties. The surface of the butterfly valve can be further finished."
415,Pneumatic metal butterfly valve,Valve Technology,Butterfly Valves,Pneumatic metal butterfly valve,pneumatic,HIGH,制药或生物技术过程；具体卫生等级需确认,Available in small nominal sizes | Suitable for vacuum applications and low temperatures | Corrosion-resistant and space-saving piston actuator made from plastic or metal | High-quality butterfly valve in stainless steel | Compact and robust body,0 to 10 bar,-20 to 160 °C,,DN 15 to 50,,,Clamp Spigot thread,ATEX EAC FDA,,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/415,2026-06-09,A,"Official page description: The GEMÜ 415 soft-seated, centric butterfly valve made of stainless steel is pneumatically operated via a space-saving piston actuator. The ""Normally Closed"", ""Normally Open"" and ""Double Acting"" control functions are available. A low-cost rack and pinion actuator can also be fitted. With its rounded and polished disc edges, the butterfly valve is optimized for frequent cycle duties. The surface of the butterfly valve can be further finished."
417,Manual plastic shut-off damper,Valve Technology,Butterfly Valves,Manual plastic shut-off damper,manual,LOW,,Low weight | Corrosion resistant plastic body | Simple installation with union nut | Ergonomic handle with anti-twist system and locking device,0 to 6 bar,0 to 60 °C,,DN 15 to 50,,,Union end,EAC,,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/417,2026-06-09,A,Official page description: The GEMÜ 417 butterfly valve has an ergonomically designed corrosion resistant plastic hand lever. It can be protected against accidental operation by the integrated locking device.
423,Electromotive plastic shut-off damper,Valve Technology,Butterfly Valves,Electromotive plastic shut-off damper,motorized | manual,LOW,,Low weight | Adjustable end positions by means of microswitches | Corrosion resistant plastic body | Simple installation with union nut | Compact design,0 to 6 bar,0 to 60 °C,,DN 15 to 50,,,Union end,CSA EAC,,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/423,2026-06-09,A,"Official page description: The butterfly valve GEMÜ 423 has a low-maintenance, motorized quarter turn actuator. A manual override and an optical position indicator are integrated as standard."
428,Electromotive metal shut-off damper,Valve Technology,Butterfly Valves,Electromotive metal shut-off damper,motorized | manual,MEDIUM,,Available in small nominal sizes | Suitable for vacuum applications and low temperatures | High-quality shut-off damper made of stainless steel | Compact and robust body,0 to 10 bar,-20 to 160 °C,,DN 15 to 50,,,Clamp Spigot thread,EAC FDA,,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/428,2026-06-09,A,"Official page description: The GEMÜ 428 soft-seated, centric butterfly valve made of stainless steel is operated by an electric motor. A manual override and an optical position indicator are integrated as standard. With its rounded and polished disc edges, the butterfly valve is optimized for frequent cycle duties. The surface of the butterfly valve can be further finished."
490,Butterfly valve with free shaft end made of metal,Valve Technology,Butterfly Valves,Butterfly valve with free shaft end made of metal,,HIGH,制药或生物技术过程；具体卫生等级需确认,"Suitable for chemically corrosive media | Bubble tight sealing acc. to EN 12266-1/P12, leakage rate A | High-quality selection of materials can be combined in different ways | High level of plant reliability thanks to one-piece shaft and spring-washer-supported seal system | Long service life thanks to shaft bearings and special disc and liner geometry",0 Up to 10 bar,-20 to 200 °C,,DN 25 to 1200,"1.4404, block material EN-GJS-400-18-LT (GGG 40.3) S355J2 + N, cast steel material VE Duroplast, reinforced",,,ATEX EAC FDA FMEDA TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/490,2026-06-09,A,"Official page description: The GEMÜ 490 Edessa PTFE-seated, centric butterfly valve has a free shaft end. Disc and shaft are one piece, body and liner are available in different designs. The butterfly valve is available in the nominal sizes (1″ - 48″), in the standardised installation lengths: ISO 5752/20 | EN 558-1/20 | API 609 category A (DIN 3202 K1) in the wafer and lug body variants."
491,Pneumatic metal butterfly valve,Valve Technology,Butterfly Valves,Pneumatic metal butterfly valve,pneumatic,HIGH,制药或生物技术过程；具体卫生等级需确认,"Suitable for chemically corrosive media | Bubble tight sealing acc. to EN 12266-1/P12, leakage rate A | High-quality selection of materials can be combined in different ways | High level of plant reliability thanks to one-piece shaft and spring-washer-supported seal system | Long service life thanks to shaft bearings and special disc and liner geometry | Optional accessories are installed, set and tested so they are ready for operation",0 Up to 10 bar,-20 to 200 °C,,DN 25 to 600,"1.4404, block material EN-GJS-400-18-LT (GGG 40.3) S355J2 + N, cast steel material VE Duroplast, reinforced",,,ATEX EAC FDA FMEDA TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/491,2026-06-09,A,"Official page description: The GEMÜ 491 Edessa PTFE lined butterfly valve has a metal actuator and is pneumatically operated. The ""Normally Closed"", ""Normally Open"" and ""Double Acting"" control functions are available. Disc and shaft are one piece, body and liner are available in different designs. The butterfly valve is available in nominal sizes DN 25 Up to 600 and in standard installation lengths ISO 5752/20 | EN 558-1/20 | API 609 category A (DIN 3202 K1) in wafer and lug body versions."
498,Electromotive metal shut-off damper,Valve Technology,Butterfly Valves,Electromotive metal shut-off damper,motorized,HIGH,制药或生物技术过程；具体卫生等级需确认,"Suitable for chemically corrosive media | Bubble tight sealing acc. to EN 12266-1/P12, leakage rate A | High-quality selection of materials can be combined in different ways | High level of plant reliability thanks to one-piece shaft and spring-washer-supported seal system | Long service life thanks to shaft bearings and special disc and liner geometry | Wide choice of motorized actuator types",0 to 10 bar,-20 to 200 °C,,DN 25 to 1200,"1.4404, block material EN-GJS-400-18-LT (GGG 40.3) S355J2 + N, cast steel material VE Duroplast, reinforced",,,ATEX EAC FDA FMEDA TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/498,2026-06-09,A,"Official page description: The GEMÜ 498 Edessa PTFE-sealing, centric butterfly valve is actuated by an electric motor. Various metal or plastic on/off or control actuators are available. Disc and shaft are one piece, body and liner are available in different designs. The butterfly valve is available in nominal sizes DN 25 Up to 1200 and in standard installation lengths ISO 5752/20 | EN 558-1/20 | API 609 category A (DIN 3202 K1) in wafer and lug body versions."
D458,Electromotive plastic shut-off damper,Valve Technology,Butterfly Valves,Electromotive plastic shut-off damper,motorized | manual,LOW,,Excellent corrosion protection | UV resistant | Disc outlet dimension designed on plastic piping | Low weight | Simple installation | Low pressure loss | Low torque,0 to 10 bar,5 to 90 °C,,DN 50 to 300,"PP, reinforced",,,CSA EAC,,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/d458,2026-06-09,A,Official page description: The GEMÜ D458 butterfly valve is motorized. Various metal or plastic on/off or control actuators are available. A manual override and an optical position indicator are integrated as standard. The butterfly valve is available in nominal sizes DN 50–300 and has a wafer body version.
D480,Butterfly valve with free shaft end made of metal,Valve Technology,Butterfly Valves,Butterfly valve with free shaft end made of metal,,MEDIUM,,"Available in large nominal sizes | Bubble tight sealing acc. to EN 12266-1/P12, leakage rate A | Special materials for disc, seal and valve body | Vulcanizable liner | Abrasion-resistant version possible",0 Up to 16 bar,-60 to 210 °C,,DN 25 to 1600,"ASTM EN-AC-46100, aluminium casting material EN-AC-47100, aluminium casting material EN-GJL-250 EN-GJS-400-15, SG iron material EN-GJS-400-18-LT (GGG 40.3) S275JR, cast steel material with epoxy coating",,,ACS ATEX DNV GL DVGW Drinking water DVGW Gas EAC FDA WRAS,,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/d480,2026-06-09,A,Official page description: The GEMÜ D480 Victoria soft seated butterfly valve has a bare shaft. The butterfly valve is available in nominal sizes DN 25 Up to 1600 and in standard installation lengths ISO 5752/20 | EN 558-1/20 | API 609 category A (DIN 3202 K1) in wafer and lug body versions.
D488,Electromotive metal shut-off damper,Valve Technology,Butterfly Valves,Electromotive metal shut-off damper,motorized,MEDIUM,,"Available in large nominal sizes | Bubble tight sealing acc. to EN 12266-1/P12, leakage rate A | Special materials for disc, seal and valve body | Vulcanizable liner | Abrasion-resistant version possible",0 to 16 bar,-60 to 210 °C,,DN 25 to 1600,"ASTM EN-AC-46100, aluminium casting material EN-AC-47100, aluminium casting material EN-GJL-250 EN-GJS-400-15, SG iron material EN-GJS-400-18-LT (GGG 40.3) S275JR, cast steel material with epoxy coating",,,ACS DNV GL DVGW Drinking water DVGW Gas EAC FDA WRAS,,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/d488,2026-06-09,A,"Official page description: The GEMÜ D488 Victoria soft-seated butterfly valve is motorized. Various metal or plastic on/off or control actuators are available. The butterfly valve is available in nominal sizes DN 25 Up to 1600, in the standardized installation lengths: ISO 5752/20 | EN 558-1/20 | API 609 category A (DIN 3202 K1) available in wafer, lug and U section body versions."
K410,Butterfly valve with free shaft end made of plastic,Valve Technology,Butterfly Valves,Butterfly valve with free shaft end made of plastic,,LOW,,Low weight | Corrosion resistant plastic body | Simple installation with union nut | Universal fitting,0 to 6 bar,0 to 60 °C,,DN 15 to 50,,,Union end,EAC,,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/k410,2026-06-09,A,Official page description: The GEMÜ K410 butterfly valve has a bare shaft. The GEMÜ RSK check valve is available in plastic.
K415,Butterfly valve with free shaft end made of metal,Valve Technology,Butterfly Valves,Butterfly valve with free shaft end made of metal,pneumatic | motorized | manual,MEDIUM,,Available in small nominal sizes | Suitable for vacuum applications and low temperatures | High-quality butterfly valve made from stainless steel or brass | Compact and robust body,0 to 10 bar,-20 to 160 °C,,DN 15 to 50,,,Clamp Spigot thread,ATEX EAC FDA,,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/k415,2026-06-09,A,"Official page description: The GEMÜ K415 soft-seated, centric butterfly valve made of stainless steel has a free shaft end with standardised actuator flange to ISO5211. With its rounded and polished disc edges, the butterfly valve is optimized for frequent cycle duties. The surface of the butterfly valve can still be further finished. The butterfly valve with FDA is available as an option. Thanks to its modular construction, it is also available with a manual, pneumatic or motorized actuator."
